,wl,Rs,Ts
0,1.0,0.6838148256690397,0.2850003926181104
1,0.9985007496251875,0.6844279380251679,0.2735018623752191
2,0.997005988023952,0.6915594611820893,0.2671927839126645
3,0.9955156950672647,0.7050637059992365,0.2653549234568275
4,0.9940298507462686,0.7210950278459725,0.2663094319465997
5,0.992548435171386,0.7339217958546745,0.26819310111808153
6,0.9910714285714287,0.7384649958933432,0.26979245039552574
7,0.9895988112927191,0.7324069163899364,0.2710807081243058
8,0.9881305637982196,0.7169639564784498,0.27324263879439814
9,0.9866666666666666,0.6960605582009607,0.27819640364157155
10,0.985207100591716,0.6743645459548216,0.2878353136125503
11,0.9837518463810931,0.6551152953572941,0.3033266501286055
12,0.9823008849557522,0.6386992108776698,0.324773015352138
13,0.9808541973490428,0.622524842407795,0.35137800251939305
14,0.9794117647058823,0.6021392097948506,0.3820311514110504
15,0.9779735682819384,0.5730032769814867,0.41603262430352683
16,0.9765395894428154,0.5321383725478819,0.45359908347626354
17,0.9751098096632503,0.4790277414943837,0.49586595494920377
18,0.9736842105263158,0.4155842111383654,0.5443028331785761
19,0.9722627737226277,0.34544148429528454,0.5997104919047234
20,0.9708454810495627,0.273071213367114,0.6611692594170352
21,0.9694323144104804,0.20317149776477877,0.7253754994849394
22,0.9680232558139534,0.1404796164095211,0.7867018261944246
23,0.9666182873730044,0.08981818812036763,0.8380780886526015
24,0.9652173913043478,0.05599266052536017,0.8724986057007628
25,0.9638205499276411,0.04323123461905046,0.8847236652977473
26,0.96242774566474,0.054158708130867164,0.8726492738748083
27,0.961038961038961,0.08865674081470686,0.8379064061511351
28,0.9596541786743517,0.14317677217462296,0.7854914507051054
29,0.958273381294964,0.2109989347114737,0.7225393081583363
30,0.9568965517241379,0.283576277953094,0.6566210169499558
31,0.9555236728837878,0.3526221526906979,0.5940852980728725
32,0.9541547277936963,0.4122197587686226,0.5389234083593906
33,0.9527896995708155,0.4601507737689069,0.4924387582303132
34,0.9514285714285714,0.4979152802429323,0.45372201030483045
35,0.9500713266761769,0.5294403155454136,0.42067062574442626
36,0.9487179487179488,0.559019560935931,0.3911396569610648
37,0.9473684210526315,0.589345751076498,0.36381481886026307
38,0.9460227272727273,0.620442856629542,0.33854726196829554
39,0.9446808510638297,0.6498983500302355,0.31611785697873435
40,0.943342776203966,0.6742187158159991,0.2976172832629907
41,0.9420084865629421,0.6906429317935115,0.28375591648233806
42,0.9406779661016949,0.6985664859452069,0.2744125290791073
43,0.9393511988716503,0.6999294577654753,0.2686042236340974
44,0.9380281690140845,0.6984087984004312,0.2648691552785177
45,0.9367088607594937,0.6978020952299598,0.26187793479696
46,0.9353932584269664,0.70034953993557,0.25899896897289965
47,0.9340813464235624,0.7057543326852798,0.2565706382639366
48,0.9327731092436975,0.7113311375550363,0.2557639300288267
49,0.9314685314685314,0.7131947921656562,0.2580966588944235
50,0.9301675977653632,0.7079351253521616,0.2648106475240479
51,0.9288702928870294,0.6940172419180225,0.2763841518121608
52,0.9275766016713092,0.6722863856530928,0.29239792613170607
53,0.9262865090403338,0.6453712650203958,0.31182564651909
54,0.9249999999999999,0.6162775958741215,0.33363697529332015
55,0.9237170596393898,0.5868217659386529,0.357458106751971
56,0.922437673130194,0.5566194378860335,0.38398964813546455
57,0.921161825726141,0.5230964755350076,0.41495691818702735
58,0.919889502762431,0.4825475493295921,0.452538349337685
59,0.9186206896551724,0.4318275122626836,0.4984212384105994
60,0.9173553719008265,0.37000739505959807,0.5527939940836999
61,0.9160935350756533,0.2993553857726298,0.6136383142495643
62,0.9148351648351648,0.22528315004152794,0.676609454591946
63,0.9135802469135803,0.155296656255339,0.7356111848655617
64,0.9123287671232876,0.09733871829361175,0.7839462971449362
65,0.9110807113543092,0.058076964208579815,0.8157320210251345
66,0.9098360655737704,0.041635201043696723,0.8271787234016132
67,0.9085948158253752,0.049043912950014465,0.8173704500743001
68,0.9073569482288829,0.07841208369509761,0.7883418258406626
69,0.9061224489795918,0.1256135137773627,0.7444626271098266
70,0.9048913043478262,0.18520170762894203,0.6913449057803382
71,0.9036635006784259,0.2513127131320421,0.6346113061333842
72,0.9024390243902439,0.3184246480246407,0.5788711034536335
73,0.9012178619756428,0.38194118621670686,0.5271481024878089
74,0.8999999999999999,0.4386061539371534,0.4808349304556284
75,0.8987854251012146,0.4867380639383665,0.44007457328721605
76,0.8975741239892182,0.5262376464868695,0.40435176502327447
77,0.8963660834454913,0.5583188878804355,0.3730489763679806
78,0.8951612903225807,0.5849710632705954,0.34578379047885643
79,0.8939597315436241,0.608259094985093,0.3224633756048174
80,0.8927613941018767,0.6296601080340225,0.30311665666471044
81,0.891566265060241,0.6496568837568778,0.28764725649492123
82,0.8903743315508021,0.6677342734860163,0.27566259246857344
83,0.8891855807743659,0.6827724068118062,0.26647878019828203
84,0.888,0.6936649839280896,0.2593063180381043
85,0.8868175765645806,0.6998907529134274,0.2535308544178432
86,0.8856382978723404,0.7017845854053196,0.24895555373615927
87,0.8844621513944223,0.7003897306250718,0.24588596942572144
88,0.8832891246684351,0.6969656531414788,0.24500747099078715
89,0.8821192052980132,0.6923860680476913,0.24709874582444877
90,0.880952380952381,0.6867115184955945,0.252702183609841
91,0.879788639365918,0.6791338528261697,0.26189910732621
92,0.8786279683377308,0.6683066088017675,0.27430135010366635
93,0.8774703557312253,0.6528848764912798,0.28928319033873
94,0.8763157894736842,0.6319961610202716,0.30637310143841284
95,0.8751642575558476,0.6054043568254224,0.32564526231116764
96,0.874015748031496,0.5732964722858946,0.34793009601316177
97,0.872870249017038,0.5358353857325933,0.37471329825608946
98,0.8717277486910996,0.49277303992005567,0.4076989908169024
